prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
75823,6-12,0.6299225095709765,Bird Island Egg Heist,blah,blahblah,Angry Birds™,US,29.99,0.11737590318674407,0.8613531161467861,Average,0.8968723271151999,0.8613531161467861
75822,6-12,0.5739136205223384,Piggy Plane Attack,blah,blahblah,Angry Birds™,US,19.99,0.11737590318674407,0.8613531161467861,Easy,1.0,0.8613531161467861
75821,6-12,0.4820802001212152,Piggy Car Escape,blah,blahblah,Angry Birds™,US,12.99,0.40605391075033276,0.906288469676671,Easy,0.852373410105524,0.8766954989747304
21030,12+,0.7772366027366989,United States Capitol Building,blah,blahblah,Architecture,US,99.99,0.5309571702133865,0.7958889470453636,Average,0.9183854479300276,0.906288469676671
21035,12+,0.7405868629438077,Solomon R. Guggenheim Museum®,blah,blahblah,Architecture,US,79.99,0.4468917227290068,0.7227062322935722,Challenging,0.9183854479300276,0.8766954989747304
21039,12+,0.7159317097801045,Shanghai,blah,blahblah,Architecture,US,59.99,0.3295158195422628,0.8129128868795363,Average,0.9802254366484422,0.9205726604783713
21028,12+,0.7161191672087617,New York City,blah,blahblah,Architecture,US,59.99,0.6114642938999216,0.8129128868795363,Average,0.8293415805384022,0.8766954989747304
21029,12+,0.7458794595221038,Buckingham Palace,blah,blahblah,Architecture,US,49.99,0.5381641145994984,0.9205726604783713,Average,0.9394358849288731,0.906288469676671
21034,12+,0.6886640332682166,London,blah,blahblah,Architecture,US,39.99,0.5309571702133865,0.7958889470453636,Average,0.9394358849288731,0.8766954989747304
21033,12+,0.6827676304433961,Chicago,blah,blahblah,Architecture,US,39.99,0.40605391075033276,0.7958889470453636,Average,0.9600431217415245,0.9345358308985776
21036,12+,0.6670882546582383,Arc de Triomphe,blah,blahblah,Architecture,US,39.99,0.4468917227290068,0.8766954989747304,Average,0.8748757251374245,0.7958889470453636
21019,12+,0.6464348078795068,The Eiffel Tower,blah,blahblah,Architecture,US,34.99,0.6723198367361811,0.7227062322935722,Average,0.9183854479300276,0.9205726604783713
21032,12+,0.6595884130853362,Sydney,blah,blahblah,Architecture,US,29.99,0.3295158195422628,0.891668149608153,Easy,0.9183854479300276,0.891668149608153
17101,7-12,0.7551094952459696,BOOST Creative Toolbox,blah,blahblah,BOOST,US,159.99,0.7015886296207952,0.8294828004351504,Average,0.622510634873069,0.7783853970487746
41597,10+,0.7350317184949887,Go Brick Me,blah,blahblah,BrickHeadz,US,29.99,0.43434245410491135,0.9615546500799727,Average,0.9600431217415245,0.9746358687061645
41614,10+,0.6110275374713944,Owen & Blue,blah,blahblah,BrickHeadz,US,19.99,0.0,0.6826061944859854,Easy,1.0,1.0
41613,10+,0.5684488397633567,Mr. Incredible & Frozone,blah,blahblah,BrickHeadz,US,19.99,0.0,1.0,Very Easy,1.0,1.0
41609,10+,0.5604709464954114,Chewbacca™,blah,blahblah,BrickHeadz,US,9.99,0.0,0.43067655807339306,Very Easy,0.5000000000000001,0.8613531161467861
